,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C201,"Fabricación de sustancias químicas básicas, de abonos y compuestos de nitrógeno y de plásticos y caucho sintético en formas primarias.",96.78,96.79,94.95,100.86,83.19,64.33,76.07,87.98,85.05,83.90,93.53,83.73,92.88,71.15,68.90,72.81,68.93,65.50,66.38,66.82,58.64,61.20,58.42,72.29,64.90,57.63,63.37,58.93,62.19,65.07,67.06,126.12,90.98,86.86,84.39,269.04,384.29,123.61,100.65,87.95,112.39,103.37,112.41,119.56,85.78,99.77,87.64,124.61,124.87,65.02,60.76,65.57,59.43,95.06,79.47,63.43,74.12
3,C202,Fabricación de otros productos químicos.,99.49,100.50,102.91,77.49,87.02,99.24,93.17,104.07,102.77,95.47,87.75,97.43,103.76,96.40,98.18,94.29,97.31,97.27,89.74,95.74,96.26,93.99,85.30,81.85,94.02,74.93,82.19,77.76,77.72,80.29,78.49,83.25,72.69,72.57,70.67,64.80,64.75,61.78,58.58,77.96,69.13,62.80,71.94,77.91,69.38,70.27,72.27,59.50,71.62,71.30,71.94,71.35,74.70,87.07,92.57,88.24,93.64
2,C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico.",53.59,78.22,118.11,113.96,86.78,103.35,121.49,126.93,130.91,131.14,110.80,88.37,94.26,116.24,134.02,121.69,125.81,128.67,129.87,123.56,124.20,129.39,117.57,106.87,101.63,207.62,208.20,130.02,122.08,131.92,99.26,114.49,82.88,118.39,113.18,95.54,109.55,127.19,119.62,121.11,125.52,121.17,129.48,122.13,142.11,113.03,121.65,111.74,140.48,104.89,127.75,122.88,146.73,169.95,139.04,144.52,134.84
3,C210,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico.",53.59,78.22,118.11,113.96,86.78,103.35,121.49,126.93,130.91,131.14,110.80,88.37,94.26,116.24,134.02,121.69,125.81,128.67,129.87,123.56,124.20,129.39,117.57,106.87,101.63,207.62,208.20,130.02,122.08,131.92,99.26,114.49,82.88,118.39,113.18,95.54,109.55,127.19,119.62,121.11,125.52,121.17,129.48,122.13,142.11,113.03,121.65,111.74,140.48,104.89,127.75,122.88,146.73,169.95,139.04,144.52,134.84
2,C22,Fabricación de productos de caucho y plástico.,80.28,102.45,99.02,101.57,96.55,91.51,89.75,97.74,97.09,92.80,97.40,92.56,77.25,77.36,84.44,80.80,82.78,86.14,86.07,87.35,85.58,86.23,85.59,78.29,81.44,72.03,80.97,79.71,85.67,78.81,75.36,81.99,75.31,82.73,88.20,73.46,69.97,68.30,64.21,61.63,66.58,62.97,64.65,62.02,63.89,59.68,65.46,66.33,67.85,65.18,55.48,50.50,57.86,68.78,82.54,72.56,81.87
3,C221,Fabricación de productos de caucho.,97.00,93.36,79.67,77.51,95.66,95.12,87.49,81.73,90.33,66.72,85.01,77.91,47.63,64.19,66.60,61.38,70.11,73.67,80.56,72.72,78.61,78.32,68.16,32.42,71.47,62.28,70.29,68.37,72.73,71.72,67.97,64.53,51.29,53.98,93.39,29.62,42.82,24.90,27.00,28.33,26.95,27.40,23.43,17.25,24.55,20.46,23.33,20.27,27.80,24.81,15.98,5.91,11.18,19.93,72.78,50.13,97.70
3,C222,Fabricación de productos de plástico.,76.42,104.55,103.49,107.12,96.76,90.68,90.27,101.44,98.65,98.83,100.26,95.95,84.10,80.40,88.57,85.29,85.71,89.03,87.34,90.74,87.19,88.06,89.62,88.89,83.74,74.29,83.44,82.34,88.65,80.45,77.06,86.02,80.87,89.37,87.00,83.59,76.24,78.33,72.81,69.32,75.74,71.19,74.18,72.36,72.98,68.74,75.20,76.97,77.11,74.50,64.61,60.80,68.65,80.06,84.80,77.74,78.21
2,C23,Fabricación de otros productos minerales no metálicos.,95.30,134.66,121.58,102.72,111.53,98.82,109.40,119.16,123.10,120.16,116.00,116.99,103.54,98.03,107.76,99.57,108.62,105.86,109.26,114.12,113.58,117.87,115.20,115.15,106.19,94.91,107.47,103.68,113.80,112.53,120.37,135.71,127.34,143.74,140.12,123.04,110.04,111.06,105.15,116.04,127.80,106.15,119.98,114.73,109.38,100.47,115.45,120.87,112.41,109.21,90.09,55.22,308.60,422.31,475.67,450.21,488.82
3,C231,Fabricación de vidrio y productos de vidrio.,86.32,80.20,103.45,82.38,91.66,85.87,96.36,92.69,98.50,110.77,128.96,126.92,106.70,100.10,99.73,101.92,121.23,118.95,114.38,120.26,121.09,140.61,145.07,140.25,134.07,135.50,139.52,159.41,150.33,137.99,150.46,151.74,178.28,151.86,184.00,149.55,163.93,94.71,153.33,160.21,168.83,164.15,124.69,188.11,190.81,162.33,158.31,303.07,149.03,85.64,84.71,81.70,87.01,129.46,193.02,152.92,189.81
3,C239,Fabricación de productos minerales no metálicos n.c.p.,95.70,137.11,122.39,103.63,112.43,99.40,109.99,120.35,124.21,120.58,115.42,116.55,103.39,97.93,108.12,99.46,108.05,105.27,109.03,113.84,113.24,116.85,113.86,114.02,104.93,93.08,106.02,101.17,112.15,111.38,119.01,134.99,125.05,143.37,138.14,121.85,107.61,111.80,102.98,114.05,125.95,103.54,119.77,111.43,105.71,97.68,113.52,112.66,110.76,110.27,90.34,54.03,318.57,435.49,488.39,463.60,502.29
2,C24,Fabricación de metales comunes.,90.45,93.21,87.28,109.07,110.09,108.23,95.77,108.05,110.82,139.88,117.26,134.98,116.53,98.99,109.26,94.80,102.52,116.10,127.42,105.93,123.63,148.61,136.65,122.53,125.22,121.56,128.15,113.47,112.49,132.14,121.76,137.50,128.36,139.75,130.94,127.89,135.12,143.16,138.60,136.06,115.91,108.62,118.84,111.43,99.38,110.81,106.86,100.86,115.61,134.49,130.35,118.44,122.79,159.58,166.59,182.14,155.59
3,C241,Industrias básicas de hierro y acero.,90.60,89.30,73.15,120.14,122.39,111.70,101.56,96.95,102.43,144.90,108.56,119.20,106.07,79.22,77.96,72.33,76.39,88.01,88.40,90.65,89.23,96.17,85.53,95.24,84.42,91.46,86.81,83.58,80.00,91.30,90.24,81.44,87.86,87.09,96.27,101.57,103.09,139.13,127.72,127.58,91.32,72.37,76.67,70.16,66.94,71.99,66.35,84.28,92.22,145.36,137.83,116.07,129.20,182.00,183.21,216.97,160.73
3,C242,Fabricación de productos primarios de metales preciosos y metales no ferrosos.,90.28,97.95,104.38,95.68,95.20,104.02,88.78,121.48,120.97,133.81,127.79,154.07,129.19,122.92,147.14,121.99,134.14,150.10,174.63,124.43,165.24,212.06,198.50,155.54,174.58,157.98,178.17,149.62,151.80,181.54,159.88,205.33,177.35,203.46,172.90,159.72,173.88,148.03,151.76,146.31,145.65,152.46,169.86,161.35,138.61,157.78,155.88,120.93,143.91,121.33,121.30,121.30,115.04,132.44,146.48,139.99,149.37
2,C25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo.",98.24,117.72,98.03,92.85,126.18,98.32,110.39,122.16,105.98,88.88,90.70,72.70,57.47,59.58,60.33,61.53,58.37,61.28,61.67,62.78,62.00,59.78,60.24,69.09,75.70,59.88,76.59,64.61,62.96,66.47,72.24,96.02,69.01,67.06,71.66,83.36,69.83,74.10,74.60,71.02,78.45,69.09,75.85,76.41,72.77,81.65,68.64,72.00,70.62,60.52,49.97,42.25,61.88,96.57,102.38,98.90,177.83
3,C251,"Fabricación de productos metálicos para uso estructural, tanques, depósitos, recipientes de metal y generadores de vapor.",85.78,129.30,111.90,110.04,140.47,96.11,125.65,144.83,116.32,96.20,106.56,83.59,55.20,59.84,61.75,59.91,51.85,57.46,54.42,58.31,53.92,49.00,54.75,64.91,55.95,43.57,49.37,49.28,48.57,51.53,53.13,54.17,55.32,57.07,65.34,74.37,48.47,62.79,64.97,66.91,77.54,59.13,67.94,66.25,66.13,78.85,63.84,70.51,61.74,55.04,45.67,37.16,43.97,52.04,59.91,52.51,55.34
3,C259,"Fabricación de otros productos elaborados de metal, actividades de trabajos de metales.",115.97,101.24,78.30,68.41,105.84,101.46,88.66,89.90,91.25,78.46,68.14,57.21,60.70,59.21,58.29,63.83,67.64,66.71,71.99,69.14,73.51,75.12,68.05,75.04,103.81,83.08,115.32,86.43,83.44,87.75,99.45,155.58,88.49,81.28,80.64,96.16,100.22,90.19,88.29,76.87,79.75,83.26,87.10,90.88,82.21,85.64,75.48,74.11,83.27,68.31,56.08,49.49,87.37,159.94,162.81,164.91,352.14
2,C26,"Fabricación de productos de informática, electrónica y óptica.",321.63,52.80,53.09,241.43,133.75,110.06,62.69,266.43,141.00,143.16,142.77,142.55,144.25,567.75,463.03,258.85,280.56,370.58,370.99,604.54,573.02,655.96,743.15,343.59,306.21,295.24,349.38,365.95,494.34,166.08,236.69,292.77,307.17,397.95,529.70,220.27,241.83,140.96,274.41,482.13,416.25,633.31,685.90,595.91,1074.91,638.21,865.59,762.82,270.30,262.91,196.21,196.68,205.92,296.75,263.20,434.53,360.67
3,C264,Fabricación de aparatos electrónicos de consumo.,321.63,52.80,53.09,241.43,133.75,110.06,62.69,266.43,141.00,143.16,142.77,142.55,144.25,567.75,463.03,258.85,280.56,370.58,370.99,604.54,573.02,655.96,743.15,343.59,306.21,295.24,349.38,365.95,494.34,166.08,236.69,292.77,307.17,397.95,529.70,220.27,241.83,140.96,274.41,482.13,416.25,633.31,685.90,595.91,1074.91,638.21,865.59,762.82,270.30,262.91,196.21,196.68,205.92,296.75,263.20,434.53,360.67
2,C27,Fabricación de equipo eléctrico.,111.15,89.00,78.97,77.08,71.96,84.19,89.81,85.85,92.62,86.88,98.09,112.27,86.34,84.90,79.78,72.85,66.51,74.65,71.03,69.20,79.62,77.59,77.25,75.78,92.88,111.14,121.24,110.75,132.21,116.70,115.72,124.59,222.98,234.40,200.26,212.73,370.08,324.33,255.07,193.53,316.13,256.97,236.19,445.43,450.61,443.87,332.66,345.77,256.41,343.18,198.16,139.43,211.05,336.32,390.56,318.03,266.22
3,C271,"Fabricación de motores, generadores, transformadores eléctricos y aparatos de distribución y control de la energía eléctrica.",99.22,119.44,90.00,94.95,97.49,80.88,124.48,86.38,115.53,81.34,107.86,151.57,109.30,117.53,132.64,127.83,118.48,116.70,110.80,87.31,120.33,123.84,126.02,103.36,68.21,73.71,72.69,66.68,110.88,71.30,75.15,73.12,76.44,92.08,63.18,90.66,84.45,83.83,92.57,78.42,94.00,102.92,99.39,82.92,83.72,64.57,83.79,92.35,58.83,62.00,52.72,14.23,111.44,143.44,156.50,120.91,128.92
3,C272,"Fabricación de pilas, baterías y acumuladores.",100.00,100.00,100.00,80.93,96.93,108.06,98.74,100.36,111.67,94.09,110.81,131.47,97.67,91.94,76.19,62.54,66.76,78.91,77.29,77.26,82.06,85.31,86.36,85.00,87.07,100.53,99.47,89.29,101.65,96.39,93.20,104.27,81.35,87.83,78.25,88.05,78.46,93.62,103.84,98.53,113.59,103.02,83.25,99.35,97.32,78.42,95.91,85.34,92.27,92.43,70.67,48.80,80.16,98.75,100.39,85.87,92.40
3,C275,Fabricación de aparatos de uso doméstico.,122.49,72.11,61.06,68.32,46.79,68.94,73.02,75.66,72.86,83.38,86.68,88.08,71.42,69.82,65.35,61.97,49.37,58.18,53.80,57.32,64.92,57.65,54.08,58.95,102.43,131.99,152.71,140.38,161.40,146.37,145.06,155.56,366.22,381.04,326.64,336.27,660.19,557.85,410.36,295.05,525.30,411.48,384.36,796.85,808.90,807.30,571.53,596.42,431.95,604.42,332.06,240.90,333.67,561.87,665.31,540.95,430.38
3,C279,Fabricación de otros tipos de equipo eléctrico.,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,144.95,144.95,144.95,39.21,52.28,50.11,56.64,44.44,52.28,68.41,65.36,34.86,74.07,87.14,43.57,78.43,71.89,78.43,76.25,74.29,65.36,59.31,41.11,229.11,121.09,286.06,41.90,34.51,31.63,31.63,31.63,31.63,26.25,23.72,34.27
2,C28,Fabricación de maquinaria y equipo n.c.p.,97.51,106.56,202.26,217.49,175.99,393.94,711.41,217.22,519.90,278.17,183.67,129.71,122.61,99.80,140.62,112.06,132.07,128.64,134.27,110.09,141.72,177.03,101.56,137.24,268.14,245.06,158.77,177.35,169.18,303.31,309.59,238.62,293.93,271.74,207.92,215.08,212.97,345.43,210.07,297.89,350.83,342.61,403.29,271.00,365.52,349.89,268.94,221.88,263.64,257.00,249.91,232.16,277.59,688.87,545.11,411.25,389.98
3,C281,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas.",97.42,106.62,232.84,257.35,186.24,490.20,916.35,254.70,650.46,338.10,188.67,120.56,120.15,91.57,125.72,115.78,145.34,140.75,150.27,123.83,167.42,210.14,102.79,157.71,328.10,305.80,185.13,215.23,204.60,351.56,385.17,281.34,354.53,335.48,216.30,268.71,267.98,440.46,267.68,381.42,446.18,445.49,525.79,338.53,471.52,453.61,339.14,273.88,339.82,332.23,326.33,302.61,363.22,912.94,720.89,542.42,513.86
3,C282,Fabricación de maquinaria de uso especial.,97.79,106.39,111.21,98.84,145.46,107.41,101.37,105.65,131.27,99.78,168.77,156.95,129.92,124.31,184.97,100.99,92.58,92.58,86.65,69.17,65.20,78.47,97.89,76.29,89.65,64.27,80.31,64.60,63.72,159.67,84.61,111.45,113.54,81.99,182.99,55.44,49.21,62.55,38.59,49.23,66.99,36.35,38.66,70.00,50.02,41.15,59.97,67.08,36.89,33.04,22.43,22.43,22.72,21.88,21.88,20.80,21.24
2,C29,"Fabricación de vehículos automotores, remolques y semirremolques.",137.16,79.28,133.95,66.76,63.28,74.08,70.62,71.82,70.48,78.85,82.07,84.74,79.66,54.16,94.07,87.10,93.55,108.97,94.49,105.35,86.20,106.99,106.35,98.58,82.96,82.16,85.35,100.66,88.98,91.98,88.55,87.05,89.10,87.36,94.84,71.58,67.79,70.65,68.72,62.38,63.28,61.39,43.73,37.45,61.72,65.72,71.18,62.39,49.57,47.02,33.58,34.16,34.15,58.47,206.04,149.41,232.64
3,C291,Fabricación de vehículos automotores.,145.32,81.72,138.22,61.62,55.55,73.19,67.50,68.33,68.33,78.14,81.68,84.93,78.74,53.02,95.83,88.86,96.61,114.04,99.34,110.21,90.88,112.12,111.56,102.64,86.66,84.93,87.39,105.02,92.86,95.17,91.56,90.10,93.13,89.37,99.52,70.97,69.09,71.73,71.02,62.78,62.96,61.20,38.61,34.96,59.36,65.04,68.19,60.74,49.42,46.86,32.18,32.18,32.18,56.33,222.30,157.55,252.08
3,C292,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques.,65.76,57.89,96.53,111.70,130.92,81.87,97.86,102.30,89.25,85.06,85.48,83.07,87.75,64.12,78.66,71.69,66.78,64.67,52.14,62.85,45.21,62.09,60.73,63.07,50.62,57.96,67.53,62.59,55.10,64.05,62.15,60.39,53.85,69.74,53.97,76.98,56.45,61.23,48.59,58.88,66.05,63.13,88.47,59.25,82.35,71.68,97.33,76.77,50.83,48.38,45.82,51.47,51.46,77.20,63.78,78.15,62.66
2,C31,Fabricación de muebles.,114.06,94.08,118.55,101.68,114.53,82.23,79.37,83.77,88.33,72.39,69.34,77.46,58.82,62.34,67.04,65.40,69.22,70.16,70.29,78.56,76.91,86.70,81.94,86.82,67.28,59.15,75.12,75.34,80.56,76.03,69.38,76.82,81.71,85.31,90.18,77.75,70.50,70.33,57.57,80.10,83.13,79.88,77.19,81.64,83.16,82.51,77.11,87.20,78.92,74.97,58.46,35.70,67.16,88.91,95.74,89.27,96.15
3,C310,Fabricación de muebles.,114.06,94.08,118.55,101.68,114.53,82.23,79.37,83.77,88.33,72.39,69.34,77.46,58.82,62.34,67.04,65.40,69.22,70.16,70.29,78.56,76.91,86.70,81.94,86.82,67.28,59.15,75.12,75.34,80.56,76.03,69.38,76.82,81.71,85.31,90.18,77.75,70.50,70.33,57.57,80.10,83.13,79.88,77.19,81.64,83.16,82.51,77.11,87.20,78.92,74.97,58.46,35.70,67.16,88.91,95.74,89.27,96.15
2,C32,Otras industrias manufactureras.,79.31,56.83,48.71,69.11,57.95,60.78,55.34,59.45,110.84,159.73,145.76,144.64,138.01,115.97,122.21,95.98,74.37,68.34,63.05,85.95,69.40,87.91,75.27,74.48,62.67,65.99,63.84,67.00,71.70,77.87,67.94,63.33,61.22,77.16,68.80,75.87,51.09,58.61,57.84,58.37,66.47,65.56,64.59,63.24,71.92,68.45,60.56,85.37,65.22,66.40,64.07,64.03,90.14,95.19,98.77,93.77,102.97
3,C321,"Fabricación de joyas, bisutería y artículos conexos.",53.53,64.63,42.98,100.01,43.21,46.22,47.39,57.74,197.43,315.37,282.39,283.48,275.98,207.21,209.12,147.52,57.29,49.57,53.49,74.10,47.16,54.63,76.09,92.13,73.40,58.22,61.60,69.32,84.35,85.53,80.62,65.80,65.27,81.50,71.71,107.95,74.41,68.20,62.79,65.34,96.23,84.91,73.24,75.40,102.10,103.71,84.84,155.65,120.75,109.41,108.34,108.34,158.95,158.95,165.76,165.00,166.97
3,C324,Fabricación de juegos y juguetes.,100.47,15.62,11.83,9.24,13.47,26.96,26.73,28.72,31.53,68.84,61.99,71.23,21.40,23.61,26.36,24.09,40.60,29.32,40.44,65.01,55.61,88.34,53.31,37.07,18.65,16.22,10.54,17.24,6.95,17.05,15.08,14.35,26.47,50.96,48.22,40.86,4.86,8.24,8.16,6.81,6.00,8.81,14.16,13.85,25.53,21.96,17.99,18.56,11.30,8.49,7.39,7.39,7.45,11.60,21.07,23.09,42.03
3,C329,Otras industrias manufactureras n.c.p.,85.55,87.04,88.48,93.47,113.74,106.54,89.69,89.51,97.49,88.05,86.52,73.64,107.74,110.02,123.79,110.80,122.60,123.11,93.46,117.12,104.35,120.76,94.72,91.38,92.56,119.68,115.25,110.61,118.80,126.32,104.04,106.06,89.24,96.99,84.88,76.12,70.45,95.49,98.72,98.99,92.52,98.59,102.49,96.65,84.56,76.09,75.59,76.79,59.48,76.85,72.13,72.01,97.69,108.62,103.52,87.80,95.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Para obtener información detallada del IPI-M Base: 2015=100 solicitarla al INEC: http://www.ecuadorencifras.gob.ec/requerimientos-de-informacion/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Sistema de Indicadores de la Producción (SIPRO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
